countryName,countryCode,indicatorName,indicatorCode,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Albania,ALB,"In-school proxy, secondary BEST (2T3), male (%) [STRICT]",UIS.INS.SEC.M,,,,93.70039987564087,96.16336989402771,95.50805997848511,93.82352018356323,93.04621982574463,94.35882997512817,94.43812822346874,92.4038982133189,93.96481990814209,94.51700019836426,93.94958572004134,98.93374001979828
Albania,ALB,"Pupil-teacher ratio, primary (trained) (ratio)",UIS.PTR.PRM.TRAINED,,,,,,,,,,,,26.35544472152951,,,
Albania,ALB,"PTR secondary source flag (2T3 / avg(2,3) / only2 / only3 / missing)",UIS.PTR.SEC.SOURCE,missing,missing,missing,missing,missing,missing,missing,missing,only2,missing,2T3,2T3,missing,missing,missing
Albania,ALB,"Pupil-teacher ratio, secondary (trained) BEST (ratio)",UIS.PTR.SEC.TRAINED,,,,,,,,,17.64615202181905,,19.64655312246553,15.11996155078501,,,
Albania,ALB,"Out-of-school rate, primary age (%) (ROFST.1.CP)",UIS.ROFST.1.CP,6.217457750608641,4.502013612491463,2.83354410369902,3.158066589798272,0.3836199863222717,0.1757774316032899,0.1161278973541249,0.6870004212935716,1.367461723182972,2.194854429261102,3.967659950256348,6.665237366003063,8.477967288550992,10.86532330059941,0.4876199960708618
Albania,ALB,"Out-of-school rate, secondary age BEST (%) (ROFST.2T3.CP) [STRICT]",UIS.ROFST.SEC.BEST,,,,7.505090644142514,5.310502533307297,5.302989959716797,6.594989776611328,7.488589763641357,6.448123549142175,6.663470201338649,9.140625928140633,7.4078315134235,7.596422653427141,8.00466100941097,0.8139100074768066
Albania,ALB,Secondary BEST source flag (2T3 / missing) [STRICT],UIS.SEC.SOURCE,missing,missing,missing,2T3,2T3,2T3,2T3,2T3,2T3,2T3,2T3,2T3,2T3,2T3,2T3
United Arab Emirates,ARE,"In-school proxy (100 - ROFST.1.CP), primary age (%)",SE.PRM.TENR,,,,,,,,,99.08686755799525,99.78960853391146,99.87990034974966,99.70475340831594,99.99659015919946,99.82393590423952,99.9961301075291
United Arab Emirates,ARE,"In-school proxy (100 - ROFST.2T3.CP), secondary age BEST (%) [STRICT]",SE.SEC.NENR,,,,,,,,,98.29189002513885,99.10382351852537,99.34549244617635,98.35544246277362,99.74575001001358,99.91313767170044,99.8337199985981
United Arab Emirates,ARE,"In-school proxy, primary age, female (%)",UIS.INS.PRM.F,,,,,,,,,98.84593970422057,99.80780179889618,99.75985762116828,99.64177504792134,98.70350003242493,99.8805352937798,
